setname	LRT_pvalue	UNI_pvalue
YAL003W	0	0
YAL005C	0	0
YAL008W	0	0
YAL009W	0	0
YAL010C	0	0
YAL011W	0	0
YAL019W	0	0
YAL022C	0	0
YAL028W	0	0
YAL032C	0	0
YAL033W	0	0
YAL039C	0	0
YAL042W	0	0
YAL046C	0	0
YAL049C	0	0
YAL054C	0	0
YAL055W	0	0
YAL056W	0	0
YAL060W	0	0
YAL062W	0	0
YAR002C-A	0	0
YAR002W	0	0
YAR008W	0	0
YAR009C	0	0
YAR010C	0	0
YAR015W	0	0
YAR018C	0	0
YAR019C	0	0
YAR020C	0	0
YAR023C	0	0
YAR027W	0	0
YAR028W	0	0
YAR029W	0	0
YAR033W	0	0
YAR050W	0	0
YBL005W	0	0
YBL006C	0	0
YBL007C	0	0
YBL011W	0	0
YBL015W	0	0
YBL016W	0	0
YBL017C	0	0
YBL018C	0	0
YBL019W	0	0
YBL020W	0	0
YBL021C	0	0
YBL025W	0	0
YBL028C	0	0
YBL029C-A	0	0
YBL030C	0	0
YBL033C	0	0
YBL036C	0	0
YBL038W	0	0
YBL039W-B	0	0
YBL040C	0	0
YBL041W	0	0
YBL043W	0	0
YBL044W	0	0
YBL080C	0	0
YBL081W	0	0
YBL082C	0	0
YBL083C	0	0
YBL084C	0	0
YBL086C	0	0
YBL089W	0	0
YBL099W	0	0
YBL100W-B	0	0
YBL102W	0	0
YBL112C	0	0
YBL113C	0	0
YBR001C	0	0
YBR003W	0	0
YBR007C	0	0
YBR012C	0	0
YBR013C	0	0
YBR014C	0	0
YBR021W	0	0
YBR022W	0	0
YBR026C	0	0
YBR029C	0	0
YBR031W	0	0
YBR036C	0	0
YBR039W	0	0
YBR041W	0	0
YBR042C	0	0
YBR045C	0	0
YBR050C	0	0
YBR053C	0	0
YBR054W	0	0
YBR058C	0	0
YBR060C	0	0
YBR061C	0	0
YBR063C	0	0
YBR065C	0	0
YBR066C	0	0
YBR067C	0	0
YBR068C	0	0
YBR069C	0	0
YBR070C	0	0
YBR071W	0	0
YBR072W	0	0
YBR073W	0	0
YBR074W	0	0
YBR076C-A	0	0
YBR078W	0	0
YBR080C	0	0
YBR083W	0	0
YBR087W	0	0
YBR093C	0	0
YBR094W	0	0
YBR098W	0	0
YBR103W	0	0
YBR105C	0	0
YBR106W	0	0
YBR107C	0	0
YBR118W	0	0
YBR119W	0	0
YBR121C	0	0
YBR123C	0	0
YBR125C	0	0
YBR126W-A	0	0
YBR126W-B	0	0
YBR127C	0	0
YBR135W	0	0
YBR137W	0	0
YBR140C	0	0
YBR146W	0	0
YBR147W	0	0
YBR148W	0	0
YBR149W	0	0
YBR150C	0	0
YBR151W	0	0
YBR153W	0	0
YBR154C	0	0
YBR155W	0	0
YBR158W	0	0
YBR160W	0	0
YBR161W	0	0
YBR162C	0	0
YBR162W-A	0	0
YBR165W	0	0
YBR166C	0	0
YBR168W	0	0
YBR169C	0	0
YBR170C	0	0
YBR173C	0	0
YBR177C	0	0
YBR181C	0	0
YBR182C	0	0
YBR183W	0	0
YBR185C	0	0
YBR188C	0	0
YBR189W	0	0
YBR191W	0	0
YBR193C	0	0
YBR196C-A	0	0
YBR197C	0	0
YBR199W	0	0
YBR202W	0	0
YBR203W	0	0
YBR204C	0	0
YBR210W	0	0
YBR213W	0	0
YBR228W	0	0
YBR229C	0	0
YBR230W-A	0	0
YBR233W	0	0
YBR234C	0	0
YBR235W	0	0
YBR237W	0	0
YBR239C	0	0
YBR249C	0	0
YBR261C	0	0
YBR270C	0	0
YBR271W	0	0
YBR272C	0	0
YBR274W	0	0
YBR275C	0	0
YBR281C	0	0
YBR283C	0	0
YBR285W	0	0
YBR291C	0	0
YCL009C	0	0
YCL011C	0	0
YCL012C	0	0
YCL017C	0	0
YCL019W	0	0
YCL021W-A	0	0
YCL026C-A	0	0
YCL026C-B	0	0
YCL028W	0	0
YCL035C	0	0
YCL040W	0	0
YCL042W	0	0
YCL056C	0	0
YCR004C	0	0
YCR008W	0	0
YCR009C	0	0
YCR017C	0	0
YCR018C	0	0
YCR018C-A	0	0
YCR020C-A	0	0
YCR024C	0	0
YCR027C	0	0
YCR031C	0	0
YCR035C	0	0
YCR037C	0	0
