CHR	GENE	LRT	UNIV	BP	add_LRT	add_UNI	fdr_LRT_pvalue	fdr_Uni_pvalue	cis_LRT	cis_UNI
1	YAL003W	0	0	142174	0.00001	0.00001	0.00001	0.00001	1	1
1	YAL005C	0	0	139503	0.00001	0.00001	0.00001	0.00001	1	1
1	YAL008W	0	0	136914	0.00001	0.00001	0.00001	0.00001	1	1
1	YAL009W	0	0	135854	0.00001	0.00001	0.00001	0.00001	1	1
1	YAL010C	0	0	134184	0.00001	0.00001	0.00001	0.00001	1	1
1	YAL011W	0	0	132199	0.00001	0.00001	0.00001	0.00001	1	1
1	YAL019W	0	0	114919	0.00001	0.00001	0.00001	0.00001	1	1
1	YAL022C	0	0	108877	0.00001	0.00001	0.00001	0.00001	1	1
1	YAL028W	0	0	92900	0.00001	0.00001	0.00001	0.00001	1	1
1	YAL032C	0	0	83335	0.00001	0.00001	0.00001	0.00001	1	1
1	YAL033W	0	0	82706	0.00001	0.00001	0.00001	0.00001	1	1
1	YAL039C	0	0	68716	0.00001	0.00001	0.00001	0.00001	1	1
1	YAL042W	0	0	61316	0.00001	0.00001	0.00001	0.00001	1	1
1	YAL046C	0	0	57029	0.00001	0.00001	0.00001	0.00001	1	1
1	YAL049C	0	0	51855	0.00001	0.00001	0.00001	0.00001	1	1
1	YAL054C	0	0	42881	0.00001	0.00001	0.00001	0.00001	1	1
1	YAL055W	0	0	42177	0.00001	0.00001	0.00001	0.00001	1	1
1	YAL056W	0	0	39259	0.00001	0.00001	0.00001	0.00001	1	1
1	YAL060W	0	0	35155	0.00001	0.00001	0.00001	0.00001	1	1
1	YAL062W	0	0	31567	0.00001	0.00001	0.00001	0.00001	1	1
1	YAR002C-A	0	0	154065	0.00001	0.00001	0.00001	0.00001	1	1
1	YAR002W	0	0	152257	0.00001	0.00001	0.00001	0.00001	1	1
1	YAR008W	0	0	158966	0.00001	0.00001	0.00001	0.00001	1	1
1	YAR009C	0	0	160597	0.00001	0.00001	0.00001	0.00001	1	1
1	YAR010C	0	0	164544	0.00001	0.00001	0.00001	0.00001	1	1
1	YAR015W	0	0	169375	0.00001	0.00001	0.00001	0.00001	1	1
1	YAR018C	0	0	170396	0.00001	0.00001	0.00001	0.00001	1	1
1	YAR019C	0	0	172211	0.00001	0.00001	0.00001	0.00001	1	1
1	YAR020C	0	0	176856	0.00001	0.00001	0.00001	0.00001	1	1
1	YAR023C	0	0	179281	0.00001	0.00001	0.00001	0.00001	1	1
1	YAR027W	0	0	183770	0.00001	0.00001	0.00001	0.00001	1	1
1	YAR028W	0	0	184892	0.00001	0.00001	0.00001	0.00001	1	1
1	YAR029W	0	0	186321	0.00001	0.00001	0.00001	0.00001	1	1
1	YAR033W	0	0	188107	0.00001	0.00001	0.00001	0.00001	1	1
1	YAR050W	0	0	203403	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL005W	0	0	217470	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL006C	0	0	216587	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL007C	0	0	212632	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL011W	0	0	203538	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL015W	0	0	194122	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL016W	0	0	192451	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL017C	0	0	186844	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL018C	0	0	185998	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL019W	0	0	184353	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL020W	0	0	182401	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL021C	0	0	181660	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL025W	0	0	171481	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL028C	0	0	167518	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL029C-A	0	0	164488	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL030C	0	0	163041	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL033C	0	0	158656	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL036C	0	0	150447	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL038W	0	0	146187	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL039W-B	0	0	143393	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL040C	0	0	142112	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL041W	0	0	141247	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL043W	0	0	136688	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL044W	0	0	135998	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL080C	0	0	73070	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL081W	0	0	71866	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL082C	0	0	69751	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL083C	0	0	69713	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL084C	0	0	67169	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL086C	0	0	61202	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL089W	0	0	49574	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL099W	0	0	37053	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL100W-B	0	0	29935	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL102W	0	0	24098	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL112C	0	0	2582	0.00001	0.00001	0.00001	0.00001	1	1
2	YBL113C	0	0	280	0.00001	0.00001	0.00001	0.00001	1	1
2	YBR001C	0	0	238941	0.00001	0.00001	0.00001	0.00001	1	1
2	YBR003W	0	0	242809	0.00001	0.00001	0.00001	0.00001	1	1
2	YBR007C	0	0	248806	0.00001	0.00001	0.00001	0.00001	1	1
2	YBR012C	0	0	259147	0.00001	0.00001	0.00001	0.00001	1	1
2	YBR013C	0	0	265492	0.00001	0.00001	0.00001	0.00001	1	1
2	YBR014C	0	0	266725	0.00001	0.00001	0.00001	0.00001	1	1
2	YBR021W	0	0	281443	0.00001	0.00001	0.00001	0.00001	1	1
2	YBR022W	0	0	283738	0.00001	0.00001	0.00001	0.00001	1	1
